PR_Number,Time_to_Review,Comments,Review_Comments,Changed_Files,Additions,Deletions,Total_Changes,Is_Merged,User_Type,CI_Status,Replicated_Code,Wont_Fix,Superseded
13196,98.78166666666667,45,35,8,293,8,301,True,regular,pending,False,False,False
13195,0.8744444444444445,2,0,2,40,0,40,True,regular,pending,False,False,False
13192,1368.9863263958332,4,7,2,414,126,540,False,regular,pending,False,False,False
13190,71.07611111111112,21,20,17,408,87,495,True,regular,pending,False,False,False
13189,0.2411111111111111,0,0,14,50,357,407,True,regular,pending,False,False,False
13187,1419.1273519341667,7,0,4,152,12,164,False,regular,pending,False,False,False
13186,1503.1204869430555,7,0,1,6,2,8,False,regular,pending,False,False,False
13184,120.97916666666667,0,2,4,7,3,10,True,regular,pending,False,False,False
13183,1512.3046583661112,4,0,2,33,2,35,False,regular,pending,False,False,False
13181,1374.4905555555556,1,14,47,1169,343,1512,True,regular,pending,False,False,False
13178,1555.6363923125,2,1,2,10,2,12,False,regular,pending,False,False,False
13177,58.693888888888885,2,1,4,80,16,96,True,regular,pending,False,False,False
13176,26.032777777777778,0,0,1,11,3,14,True,regular,pending,False,False,False
13172,155.2675,2,0,7,65,39,104,True,regular,pending,False,False,False
13171,409.4797222222222,5,0,2,6,2,8,False,regular,pending,False,False,False
13170,50.94305555555555,0,0,2,12,1,13,True,regular,pending,False,False,False
13169,87.68555555555555,0,0,3,7,5,12,True,regular,pending,False,False,False
13168,189.76416666666665,0,0,2,0,4,4,True,regular,pending,False,False,False
13167,0.9483333333333334,1,0,1,3,5,8,False,regular,pending,False,False,False
13165,1692.2570911680555,4,5,3,116,1,117,False,regular,pending,False,False,False
13164,35.91694444444445,23,12,5,72,211,283,True,regular,pending,False,False,False
13163,453.90833333333336,2,0,1,3,1,4,True,regular,pending,False,False,False
13162,116.03861111111111,1,5,22,182,51,233,True,regular,pending,False,False,False
13160,2.798888888888889,0,0,1,1,2,3,True,regular,pending,False,False,False
13159,60.18666666666667,1,0,1,2,2,4,True,regular,pending,False,False,False
13157,1721.7803794305555,1,0,1,12,0,12,False,regular,pending,False,False,False
13156,3.2544444444444443,0,0,4,21,6,27,True,regular,pending,False,False,False
13155,17.004444444444445,7,0,4,21,2,23,True,regular,pending,False,False,False
13154,17.134722222222223,2,0,2,4,3,7,True,regular,pending,False,False,False
13153,1790.6895893825001,7,0,10,780,105,885,False,regular,pending,False,False,False
13150,0.7652777777777777,1,0,2,2,2,4,False,regular,pending,False,False,False
13149,771.8347222222222,22,15,5,66,8,74,True,regular,pending,False,False,False
13148,3.1280555555555556,5,0,3,32,16,48,True,regular,pending,False,False,False
13146,7.063888888888889,20,7,40,60,3085,3145,True,regular,pending,False,False,False
13145,0.41638888888888886,0,0,4,21,2,23,True,regular,pending,False,False,False
13144,9.460833333333333,0,0,1,6,2,8,False,regular,pending,False,False,False
13143,1864.578209391389,9,1,11,80,460,540,False,regular,pending,False,False,False
13142,1883.8338029338888,4,11,13,45,54,99,False,regular,pending,False,False,False
13141,18.329444444444444,3,2,2,77,3,80,True,regular,pending,False,False,False
13140,1889.47684651,1,0,1,1,1,2,False,regular,pending,False,False,False
13139,0.5688888888888889,4,2,1,59,39,98,True,regular,pending,False,False,False
13138,1.8836111111111111,0,0,1,3,0,3,True,regular,pending,False,False,False
13137,0.5508333333333333,0,0,3,14,0,14,True,regular,pending,False,False,False
13136,0.26055555555555554,0,0,1,2,2,4,True,regular,pending,False,False,False
13135,1342.1752777777779,2,2,1,3,0,3,True,regular,pending,False,False,False
13134,1.5927777777777778,0,0,2,3,3,6,True,regular,pending,False,False,False
13134,1.5927777777777778,0,0,2,3,3,6,True,regular,pending,False,False,False
13133,1924.2871687355555,7,0,6,134,30,164,False,regular,pending,False,False,False
13132,0.6188888888888889,0,0,1,6,1,7,True,regular,pending,False,False,False
13128,838.8822222222223,1,0,3,136,19,155,True,regular,pending,False,False,False
13126,2032.2142914866668,3,0,1,6,2,8,False,regular,pending,False,False,False
13125,496.10805555555555,5,2,3,237,10,247,True,regular,pending,False,False,False
13124,532.4380555555556,24,33,14,357,50,407,True,regular,pending,False,False,False
13123,46.030277777777776,0,5,1,85,104,189,True,regular,pending,False,False,False
13122,21.547777777777778,0,0,1,4,0,4,True,regular,pending,False,False,False
13121,332.2341666666667,0,0,10,92,37,129,True,regular,pending,False,False,False
13119,55.468333333333334,9,6,5,113,11,124,True,regular,pending,False,False,False
13118,8.8,1,0,1,2,1,3,True,regular,pending,False,False,False
13117,182.76333333333332,1,0,1,3,0,3,True,regular,pending,False,False,False
13115,8.943888888888889,3,0,1,1,1,2,True,regular,pending,False,False,False
13113,2145.375061253333,0,0,11,191,158,349,False,regular,pending,False,False,False
13111,40.87916666666667,0,0,1,10,0,10,True,regular,pending,False,False,False
13110,17.114166666666666,1,0,9,183,192,375,True,regular,pending,False,False,False
13109,2175.5093598125,8,0,3,170,0,170,False,regular,pending,False,False,False
13108,280.6427777777778,25,4,1,59,39,98,True,regular,pending,False,False,False
13104,21.475833333333334,4,0,1,2,1,3,True,regular,pending,False,False,False
13102,47.52611111111111,0,0,2,21,9,30,True,regular,pending,False,False,False
13100,17.420277777777777,2,0,10,270,244,514,True,regular,pending,False,False,False
13098,5.3197222222222225,2,0,2,27,9,36,True,regular,pending,False,False,False
13097,14.844722222222222,1,0,1,6,6,12,True,regular,pending,False,False,False
13096,16.418055555555554,13,0,1,45,10,55,True,regular,pending,False,False,False
13095,54.096111111111114,17,26,8,246,281,527,True,regular,pending,False,False,False
13093,0.051944444444444446,0,0,1,7,0,7,True,regular,pending,False,False,False
13092,91.96972222222222,9,0,12,271,242,513,True,regular,pending,False,False,False
13091,0.7397222222222222,0,0,20,127,94,221,True,regular,pending,False,False,False
13090,7.269444444444445,0,2,3,60,90,150,True,regular,pending,False,False,False
13089,112.86583333333333,1,0,1,1,1,2,True,regular,pending,False,False,False
13088,38.530833333333334,0,0,1,1,0,1,True,regular,pending,False,False,False
13087,509.07972222222224,6,13,6,15,15,30,True,regular,pending,False,False,False
13086,0.7575,0,0,19,901,22,923,True,regular,pending,False,False,False
13085,384.9841666666667,4,0,29,42,55,97,True,regular,pending,False,False,False
13082,26.200277777777778,0,0,1,2,3,5,True,regular,pending,False,False,False
13081,27.215,0,0,1,7,1,8,True,regular,pending,False,False,False
13077,515.2133333333334,6,0,3,14,0,14,True,regular,pending,False,False,False
13076,1855.8991666666666,32,14,19,464,78,542,False,regular,pending,False,False,False
13075,7.591111111111111,7,1,3,76,20,96,True,regular,pending,False,False,False
13072,2426.1134854380552,13,18,10,448,13,461,False,regular,pending,False,False,False
13070,80.6211111111111,0,0,1,6,1,7,True,regular,pending,False,False,False
13069,80.44472222222223,4,0,1,3,0,3,True,regular,pending,False,False,False
13068,294.25111111111113,7,11,24,341,530,871,True,regular,pending,False,False,False
13067,259.3586111111111,1,3,1,10,1,11,True,regular,pending,False,False,False
13066,1122.1491666666666,8,5,3,35,3,38,True,regular,pending,False,False,False
13063,0.08527777777777777,0,0,1,0,1,1,False,regular,pending,False,False,False
13062,20.031111111111112,0,0,1,9,14,23,True,regular,pending,False,False,False
13060,468.1436111111111,1,4,32,48,48,96,True,regular,pending,False,False,False
13059,40.486111111111114,0,0,3,16,2,18,True,regular,pending,False,False,False
13058,165.0113888888889,6,1,1,3,2,5,True,regular,pending,False,False,False
13055,1.9119444444444444,2,0,2,35,31,66,True,regular,pending,False,False,False
13054,2569.9129950605557,12,0,7,319,77,396,False,regular,pending,False,False,False
13053,36.31138888888889,1,3,2,17,23,40,True,regular,pending,False,False,False
13052,18.889444444444443,5,3,2,7,1,8,True,regular,pending,False,False,False
13051,7.626388888888889,2,0,3,38,44,82,True,regular,pending,False,False,False
13050,7.741944444444444,0,0,12,20,20,40,True,regular,pending,False,False,False
13049,7.965,0,0,16,31,31,62,True,regular,pending,False,False,False
13048,8.106111111111112,5,2,4,10,7,17,True,regular,pending,False,False,False
13047,8.134444444444444,0,0,6,10,11,21,True,regular,pending,False,False,False
13046,50.091388888888886,8,10,12,2731,2476,5207,True,regular,pending,False,False,False
13045,2597.309008521111,6,0,2,6,0,6,False,regular,pending,False,False,False
13043,11.296944444444444,7,0,3,27,8,35,True,regular,pending,False,False,False
13042,12.855,1,0,3,3,3,6,True,regular,pending,False,False,False
13041,422.7536111111111,1,5,2,19,19,38,True,regular,pending,False,False,False
13040,13.03888888888889,0,0,3,3,4,7,True,regular,pending,False,False,False
13039,39.62166666666667,2,4,2,2,5,7,True,regular,pending,False,False,False
13038,28.1175,1,0,2,5,6,11,True,regular,pending,False,False,False
13037,2642.1454862061114,2,1,3,85,59,144,False,regular,pending,False,False,False
13036,142.74166666666667,7,8,4,193,0,193,True,regular,pending,False,False,False
13035,574.4163888888888,9,2,2,3,0,3,True,regular,pending,False,False,False
13034,16.460833333333333,0,0,1,10,2,12,True,regular,pending,False,False,False
13033,22.006666666666668,1,1,3,56,0,56,True,regular,pending,False,False,False
13032,352.40694444444443,2,0,1,2,2,4,True,regular,pending,False,False,False
13031,114.03222222222222,4,0,3,53,12,65,True,regular,pending,False,False,False
13030,349.19055555555553,2,0,2,42,8,50,False,regular,pending,False,False,False
13028,64.81416666666667,2,7,2,208,12,220,True,regular,pending,False,False,False
13027,22.159444444444443,5,4,6,206,43,249,True,regular,pending,False,False,False
13026,97.56222222222222,0,0,3,58,20,78,True,regular,pending,False,False,False
13023,29.16722222222222,0,0,1,73,56,129,True,regular,pending,False,False,False
13021,1.2758333333333334,0,4,1,60,8,68,True,regular,pending,False,False,False
13019,2900.626772525,2,0,2,19,2,21,False,regular,pending,False,False,False
13017,1154.058888888889,5,8,4,461,10,471,True,regular,pending,False,False,False
13016,0.745,0,0,2,48,1,49,True,regular,pending,False,False,False
13014,212.23694444444445,4,0,2,12,7,19,True,regular,pending,False,False,False
13013,22.254166666666666,2,0,47,1330,91,1421,False,regular,pending,False,False,False
13012,0.6230555555555556,0,0,1,4,4,8,True,regular,pending,False,False,False
13010,46.23777777777778,0,0,1,1,0,1,True,regular,pending,False,False,False
13008,3039.539882331389,1,0,7,104,41,145,False,regular,pending,False,False,False
13007,3.0858333333333334,1,0,1,69,92,161,True,regular,pending,False,False,False
13006,3.644722222222222,1,0,1,57,94,151,True,regular,pending,False,False,False
13001,653.3083333333333,7,3,44,105,1,106,True,regular,pending,False,False,False
13000,312.97583333333336,0,0,1,14,1,15,True,regular,pending,False,False,False
12999,43.97666666666667,0,0,6,31,104,135,True,regular,pending,False,False,False
12998,0.2833333333333333,0,0,1,2,1,3,True,regular,pending,False,False,False
12997,96.37388888888889,4,2,2,5,3,8,True,regular,pending,False,False,False
12996,1204.451111111111,6,5,2,5,1,6,True,regular,pending,False,False,False
12995,390.85527777777776,5,25,14,375,155,530,True,regular,pending,False,False,False
12994,154.19166666666666,2,0,1,2,10,12,True,regular,pending,False,False,False
12993,133.50861111111112,1,0,1,0,1,1,True,regular,pending,False,False,False
12988,2.3444444444444446,0,0,2,2,2,4,True,regular,pending,False,False,False
12987,332.04027777777776,1,2,4,62,11,73,True,regular,pending,False,False,False
12985,3341.968403108056,15,1,5,218,79,297,False,regular,pending,False,False,False
12984,671.7113888888889,3,0,1,12,12,24,True,regular,pending,False,False,False
12982,359.71694444444444,1,16,19,227,264,491,True,regular,pending,False,False,False
12981,387.2652777777778,6,4,1,25,5,30,True,regular,pending,False,False,False
12980,3411.525900459166,10,2,4,99,53,152,False,regular,pending,False,False,True
12979,70.58527777777778,0,3,22,313,594,907,True,regular,pending,False,False,False
12978,122.57555555555555,0,0,67,630,961,1591,True,regular,pending,False,False,False
12977,262.57416666666666,0,3,15,115,191,306,True,regular,pending,False,False,False
12976,91.69527777777778,0,0,10,273,364,637,True,regular,pending,False,False,False
12975,91.89472222222223,0,0,2,16,16,32,True,regular,pending,False,False,False
12974,249.0611111111111,0,0,4,45,70,115,True,regular,pending,False,False,False
12973,358.7972222222222,0,9,2,58,58,116,True,regular,pending,False,False,False
12972,137.53083333333333,0,3,4,20,51,71,True,regular,pending,False,False,False
12971,137.49277777777777,0,0,1,11,12,23,True,regular,pending,False,False,False
12970,92.05944444444444,0,0,3,3,13,16,True,regular,pending,False,False,False
12969,371.7175,1,1,1,20,25,45,True,regular,pending,False,False,False
12967,4.153333333333333,4,2,28,137,152,289,True,regular,pending,False,False,False
12966,2521.246111111111,18,23,14,936,867,1803,True,regular,pending,False,False,False
12965,430.7727777777778,4,0,1,43,73,116,True,regular,pending,False,False,False
12963,10.810555555555556,0,0,1,8,2,10,True,regular,pending,False,False,False
12962,1122.6972222222223,19,40,19,901,22,923,True,regular,pending,False,False,False
12960,3.173611111111111,1,0,1,1,1,2,True,regular,pending,False,False,False
12959,532.6319444444445,9,0,4,203,25,228,True,regular,pending,False,False,False
12958,452.06416666666667,1,0,2,13,1,14,True,regular,pending,False,False,False
12954,647.2425,7,0,1,11,7,18,False,regular,pending,False,False,False
12953,3.386388888888889,5,0,2,5,15,20,True,regular,pending,False,False,False
12952,79.26666666666667,0,0,1,1,1,2,True,regular,pending,False,False,False
12951,1198.8894444444445,5,4,20,37,25,62,True,regular,pending,False,False,False
12950,2.2019444444444445,2,0,1,5,5,10,True,regular,pending,False,False,False
12948,3690.429981194722,2,0,9,27,27,54,False,regular,pending,False,False,False
12947,3690.8564378930555,2,2,2,3,1,4,False,regular,pending,False,False,False
12944,3691.6814994294446,1,0,2,64,50,114,False,regular,pending,False,False,False
12943,5.4094444444444445,0,5,1,12,16,28,True,regular,pending,False,False,False
12942,4.848888888888889,0,1,5,8,9,17,True,regular,pending,False,False,False
12939,18.179166666666667,1,2,18,31,50,81,True,regular,pending,False,False,False
12938,3713.9089402463887,3,0,1,4,1,5,False,regular,pending,False,False,False
12937,8.030555555555555,2,3,8,43,18,61,True,regular,pending,False,False,False
12936,10.821111111111112,1,0,2,44,38,82,True,regular,pending,False,False,False
12935,20.420555555555556,1,0,7,133,105,238,False,regular,pending,False,False,False
12933,41.096111111111114,4,2,5,62,3,65,True,regular,pending,False,False,False
12930,3738.0635584886113,3,7,3,77,1,78,False,regular,pending,False,False,False
12929,164.11527777777778,4,0,5,27,20,47,True,regular,pending,False,False,False
12928,0.1875,2,0,1,1,0,1,True,regular,pending,False,False,False
